Employee ID,Status,Leave Status,Leave Type,Termination Reason,Compa-Ratio,Last Promotion Years Ago,MUD ID,Email - Work,Position ID,Position,Effective Date for Current Position,Years in Current Position,Business Title,Worker Type,Employee\ CW Type,Is International Assignee,Scheduled Weekly Hours,Default Weekly Hours,FTE %,Work Shift,Company Code,Company,Location,Sub-function,Supervisory Organization,Supervisory Org ID,Region,Cost Center - ID,Cost Center - Name,Cost Center Hierarchy,Job Category,Job Family Group,Job Family,Job Profile,Job Code,End Employment Date,Company Service Date,Original Hire Date,Hire Date,Is Rehire,Continuous Service Date,Years - Continuous Service Date,Months - Continuous Service Date,Contract Start Date,Start Date (Remotely),Date of Move,Clawback End Date,Assignment End Date,Mobility Support Type,Manager's MUD ID,Manager's Employee ID,Worker's Manager,Manager's Business Title,Manager's Supervisory Organisation,Manager's Email,Manager's Country,Manager's Location,Date of Birth,Age,Country of Birth,City of Birth,Home Phones,Payroll ID,Legacy ID,Pay Group,Levels from Top of Organisation (CEO=2),CEO,CEO Business Title,CET,CET Business Title,CET-1,CET-1 Business Title,CET-2,CET-2 Business Title,CET-3,CET-3 Business Title,CET-4,CET-4 Business Title,CET-5,CET-5 Business Title,CET-6,CET-6 Business Title,Management Levels (Benefit Jobs),Car Allowance,Sports Allowance,Transportation Allowance,Full Legal Name,Business Unit,Job Title,Country,Gender,Base Salary,Is Manager,Number of Direct Reports
10286,Terminated,Not on Leave,,Lack of Promotion,0.97,4.9,MUD10286,sehel.çorlu@beko.com,POS-865,assistant e-commerce specialist,2017-03-22,3.4,assistant e-commerce specialist,Employee,Regular,True,80.0,45,100,Day,BEKO01,Beko,Istanbul,Operations,Sales Org,ORG-174,EMEA,1399,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,assistant e-commerce specialist,JC-9-68,2025-03-08,2016-09-27,2016-09-27,2016-09-27,False,2016-09-27,3.8,71,2016-09-27,,,,,,MUD9999,9999,E-Commerce Specialist,E-Commerce Specialist,Sales Org,manager@beko.com,Turkey,Istanbul,1992-09-11,33,Turkey,Öcalanberg,257 0 165,PAY-10286,,Monthly,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,1220,1940,Sehel Çorlu,Sales,Assistant E-Commerce Specialist,UK,Male,116650,False,0
10295,Active,On Leave,Annual Leave,,1.02,4.6,MUD10295,âdem.yılmaz@beko.com,POS-189,maintenance planner,2019-09-02,3.3,maintenance planner,Contingent Worker,Regular,True,80.0,45,100,Day,BEKO01,Beko,Gebze,Operations,Production Org,ORG-127,EMEA,8278,CC-Production,Global -> EMEA,Professional,Corporate,Production,maintenance planner,JC-8-63,,2019-06-05,2019-06-05,2019-06-05,False,2019-06-05,9.8,19,2019-06-05,,,,,,MUD9999,9999,Maintenance Manager,Maintenance Manager,Production Org,manager@beko.com,Turkey,Istanbul,1977-06-12,49,Türkiye,Arslanburgh,629 9 123,PAY-10295,,Monthly,8,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,1395,2148,Âdem Yılmaz,Production,Maintenance Planner,Turkey,Female,146600,False,0
10303,Terminated,Not on Leave,,Career Development,0.98,0.8,MUD10303,süzer.ergül@beko.com,POS-264,regional field sales manager,2017-02-13,4.8,regional field sales manager,Contingent Worker,Regular,True,80.0,45,100,Day,BEKO01,Beko,Sütlüce,Operations,Sales Org,ORG-164,EMEA,4962,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,regional field sales manager,JC-8-74,2020-03-31,2016-11-14,2016-11-14,2016-11-14,False,2016-11-14,6.5,14,2016-11-14,,,,,,MUD9999,9999,Regional Field Sales Lead,Regional Field Sales Lead,Sales Org,manager@beko.com,Turkey,Istanbul,1967-07-27,59,Türkiye,North Melûltown,+90(334)280-1387x5927,PAY-10303,,Monthly,8,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,1471,2187,Süzer Ergül,Sales,Regional Field Sales Manager,USA,Male,141089,True,8
10319,Active,Not on Leave,,,1.04,4.6,MUD10319,i̇diris.eraslan@beko.com,POS-215,internal auditor,2025-06-06,4.6,internal auditor,Employee,Regular,False,40.0,45,100,Day,BEKO01,Beko,Çayırova,Operations,Finance Org,ORG-140,EMEA,9941,CC-Finance,Global -> EMEA,Professional,Corporate,Finance,internal auditor,JC-8-64,,2025-03-18,2025-03-18,2025-03-18,False,2025-03-18,6.0,42,2025-03-18,,,,,,MUD9999,9999,Internal Audit Manager,Internal Audit Manager,Finance Org,manager@beko.com,Turkey,Istanbul,1963-04-08,63,USA,Tarhanbury,0257-540 9003,PAY-10319,,Monthly,8,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,883,2432,İDiris Eraslan,Finance,Internal Auditor,Turkey,Male,149480,False,0
10323,Terminated,Not on Leave,,Lack of Promotion,1.02,4.9,MUD10323,şilan.yaman@beko.com,POS-524,customer service manager,2019-12-30,4.8,customer service manager,Contractor,Regular,True,40.0,45,50,Day,BEKO01,Beko,Sütlüce,Operations,Supply Chain Org,ORG-147,EMEA,3980,CC-Supply Chain,Global -> EMEA,Professional,Corporate,Supply Chain,customer service manager,JC-7-60,2020-08-27,2019-03-10,2019-03-10,2019-03-10,False,2019-03-10,6.0,108,2019-03-10,,,,,,MUD9999,9999,Supply Chain Director,Supply Chain Director,Supply Chain Org,manager@beko.com,Turkey,Istanbul,1993-07-31,33,USA,Akçashire,00089317342,PAY-10323,,Monthly,7,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,1318,1577,Şilan Yaman,Supply Chain,Customer Service Manager,USA,Male,165468,True,4
10329,Terminated,Not on Leave,,Work-Life Balance / Burnout,1.07,1.1,MUD10329,arziye.ergül@beko.com,POS-987,maintenance manager,2026-12-25,1.9,maintenance manager,Employee,Regular,True,45.0,45,100,Day,BEKO01,Beko,Sütlüce,Operations,Production Org,ORG-118,EMEA,3025,CC-Production,Global -> EMEA,Professional,Corporate,Production,maintenance manager,JC-7-54,2026-07-25,2026-06-21,2026-06-21,2026-06-21,False,2026-06-21,5.4,84,2026-06-21,,,,,,MUD9999,9999,Plant Director,Plant Director,Production Org,manager@beko.com,Turkey,Istanbul,1987-07-03,39,USA,East Sencarburgh,0849 939 08 92,PAY-10329,,Monthly,7,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,1004,1230,Arziye Ergül,Production,Maintenance Manager,UK,Female,173999,True,9
10331,Active,Not on Leave,,,1.05,5.1,MUD10331,atılgan.şensoy@beko.com,POS-916,sales representative,2023-10-03,2.4,sales representative,Contractor,Regular,False,80.0,45,0,Day,BEKO01,Beko,Istanbul,Operations,Sales Org,ORG-172,EMEA,3118,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-37,,2022-10-21,2022-10-21,2022-10-21,False,2022-10-21,2.0,114,2022-10-21,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,1982-05-01,44,USA,Port Saryaport,(018)961 6423,PAY-10331,,Monthly,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,1251,2857,Atılgan Şensoy,Sales,Sales Representative,UK,Male,125985,False,0
10333,Active,Not on Leave,,,1.01,4.3,MUD10333,cannur.aslan@beko.com,POS-728,sales representative,2022-09-11,4.7,sales representative,Contingent Worker,Regular,False,40.0,45,50,Day,BEKO01,Beko,Istanbul,Operations,Sales Org,ORG-123,EMEA,8112,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-90,,2022-03-18,2022-03-18,2022-03-18,False,2022-03-18,0.3,103,2022-03-18,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,1980-11-21,45,Türkiye,Çorluton,+90(573)278-8147x6174,PAY-10333,,Monthly,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,1330,1754,Cannur Aslan,Sales,Sales Representative,Turkey,Female,120922,False,0
10338,Active,On Leave,Annual Leave,,0.96,4.6,MUD10338,soyselçuk.durdu@beko.com,POS-745,marketing manager,2025-10-12,4.9,marketing manager,Contractor,Regular,False,80.0,45,50,Day,BEKO01,Beko,Bolu,Operations,Marketing Org,ORG-191,EMEA,8074,CC-Marketing,Global -> EMEA,Professional,Corporate,Marketing,marketing manager,JC-6-63,,2024-11-15,2024-11-15,2024-11-15,False,2024-11-15,7.3,119,2024-11-15,,,,,,MUD9999,9999,Marketing Director,Marketing Director,Marketing Org,manager@beko.com,Turkey,Istanbul,1979-05-21,47,USA,Korutürkshire,+90(407)678-9973x0806,PAY-10338,,Monthly,6,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,508,1210,Soyselçuk Durdu,Marketing,Marketing Manager,Turkey,Female,202879,True,5
10357,Active,Not on Leave,,,0.94,5.9,MUD10357,aktemür.aslan@beko.com,POS-668,production supervisor,2022-06-10,2.2,production supervisor,Contingent Worker,Regular,True,,45,100,Day,BEKO01,Beko,Istanbul,Operations,Production Org,ORG-183,EMEA,3057,CC-Production,Global -> EMEA,Professional,Corporate,Production,production supervisor,JC-8-48,,2022-02-14,2022-02-14,2022-02-14,False,2022-02-14,5.2,64,2022-02-14,,,,,,MUD9999,9999,Production Manager,Production Manager,Production Org,manager@beko.com,Turkey,Istanbul,1988-09-19,37,UK,Dumanlıland,+90(325)823-8687x0079,PAY-10357,,Monthly,8,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,752,2562,Aktemür Aslan,Production,Production Supervisor,USA,Male,135326,True,4
10375,Terminated,Not on Leave,,Career Development,1.03,2.8,MUD10375,bünyamün.yaman@beko.com,POS-576,production engineer,2024-12-25,4.3,production engineer,Employee,Regular,False,,45,50,Day,BEKO01,Beko,Gebze,Operations,Production Org,ORG-165,EMEA,6511,CC-Production,Global -> EMEA,Professional,Corporate,Production,production engineer,JC-8-64,2025-07-19,2024-02-05,2024-02-05,2024-02-05,False,2024-02-05,6.9,31,2024-02-05,,,,,,MUD9999,9999,Production Manager,Production Manager,Production Org,manager@beko.com,Turkey,Istanbul,1974-09-29,51,USA,Ertaşchester,575 4 602,PAY-10375,,Monthly,8,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,860,1471,Bünyamün Yaman,Production,Production Engineer,Turkey,Female,149000,False,0
10379,Terminated,Not on Leave,,Career Development,0.95,1.0,MUD10379,meleknur.bilge@beko.com,POS-463,sales representative,2018-04-28,3.0,sales representative,Contractor,Regular,False,45.0,45,50,Day,BEKO01,Beko,Sütlüce,Operations,Sales Org,ORG-143,EMEA,4694,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-63,2023-08-10,2017-11-11,2017-11-11,2017-11-11,False,2017-11-11,1.2,28,2017-11-11,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,2005-11-11,20,UK,Tarhanfurt,+90(459)090-2259x9996,PAY-10379,,Monthly,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,1011,2659,Meleknur Bilge,Sales,Sales Representative,Turkey,Female,114158,False,0
10380,Active,On Leave,Annual Leave,,1.0,1.9,MUD10380,çinerk.bilir@beko.com,POS-211,sales representative,2026-10-25,3.0,sales representative,Contingent Worker,Regular,True,,45,0,Day,BEKO01,Beko,Çayırova,Operations,Sales Org,ORG-142,EMEA,8397,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-91,,2026-01-25,2026-01-25,2026-01-25,False,2026-01-25,6.9,36,2026-01-25,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,1963-08-22,62,Türkiye,Cihandideburgh,+90 (820) 9702316,PAY-10380,,Monthly,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,692,1972,Çinerk Bilir,Sales,Sales Representative,USA,Female,120331,False,0
10411,Terminated,Not on Leave,,Career Development,0.95,0.5,MUD10411,elöve.zorlu@beko.com,POS-134,it specialist (infrastructure),2023-08-30,3.2,it specialist (infrastructure),Contingent Worker,Regular,False,40.0,45,50,Day,BEKO01,Beko,Çayırova,Operations,IT Org,ORG-115,EMEA,4946,CC-IT,Global -> EMEA,Professional,Corporate,IT,it specialist (infrastructure),JC-8-60,2024-06-29,2023-01-30,2023-01-30,2023-01-30,False,2023-01-30,5.2,93,2023-01-30,,,,,,MUD9999,9999,IT Infrastructure & Operations Manager,IT Infrastructure & Operations Manager,IT Org,manager@beko.com,Turkey,Istanbul,1989-01-24,37,USA,Hançerburgh,176 4 750,PAY-10411,,Monthly,8,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,1142,2479,Elöve Zorlu,IT,IT Specialist (Infrastructure),USA,Male,136868,False,0
10447,Terminated,Not on Leave,,Career Development,0.96,2.4,MUD10447,kamar.alemdar@beko.com,POS-420,sales representative,2024-07-17,4.1,sales representative,Contingent Worker,Regular,True,40.0,45,100,Day,BEKO01,Beko,Gebze,Operations,Sales Org,ORG-183,EMEA,7637,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-58,2025-03-25,2024-01-16,2024-01-16,2024-01-16,False,2024-01-16,9.4,57,2024-01-16,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,1987-06-06,39,Turkey,North Zoral,341 1 159,PAY-10447,,Monthly,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,1336,2418,Kamar Alemdar,Sales,Sales Representative,USA,Female,115264,False,0
10471,Terminated,Not on Leave,,Relocation,0.97,2.4,MUD10471,esmanperi.türk@beko.com,POS-705,sales representative,2027-03-07,2.3,sales representative,Contingent Worker,Regular,False,80.0,45,100,Day,BEKO01,Beko,Çayırova,Operations,Sales Org,ORG-149,EMEA,4873,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-83,2026-07-17,2026-06-26,2026-06-26,2026-06-26,False,2026-06-26,2.4,83,2026-06-26,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,1980-10-20,45,Turkey,West Aksayshire,+90(742)6088050,PAY-10471,,Monthly,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,963,1350,Esmanperi Türk,Sales,Sales Representative,Turkey,Female,116033,False,0
